image_url,id,w_cm,idx,color,proportion,color_name
"14427416.jpg",14427416,"5.5",1,"#dfc23b",0.09624444444,"orange","L one man is there Liederman"
"14427416.jpg",14427416,"5.5",1,"#dfc23b",0.09624444444,"orange","L one man is there Liederman"
"14427416.jpg",14427416,"5.5",1,"#dfc23b",0.09624444444,"orange","L one man is there Liederman"
"14427416.jpg",14427416,"5.5",1,"#dfc23b",0.09624444444,"orange","L one man is there Liederman"
"14427416.jpg",14427416,"5.5",1,"#dfc23b",0.09624444444,"orange","L one man is there Liederman"
"14427415.jpg",14427415,"5.5",1,"#332f2b",0.3817666667,"black","L Liederman"
"14427415.jpg",14427415,"5.5",1,"#332f2b",0.3817666667,"black","L Liederman"
"14427415.jpg",14427415,"5.5",1,"#332f2b",0.3817666667,"black","L Liederman"
"14427415.jpg",14427415,"5.5",1,"#332f2b",0.3817666667,"black","L Liederman"
"14427415.jpg",14427415,"5.5",1,"#332f2b",0.3817666667,"black","L Liederman"
"14427412.jpg",14427412,"5.6",1,"#322e2b",0.3903888889,"black","I Love Libbey Selectman"
"14427412.jpg",14427412,"5.6",1,"#322e2b",0.3903888889,"black","I Love Libbey Selectman"
"14427412.jpg",14427412,"5.6",1,"#322e2b",0.3903888889,"black","I Love Libbey Selectman"
"14427412.jpg",14427412,"5.6",1,"#322e2b",0.3903888889,"black","I Love Libbey Selectman"
"14427412.jpg",14427412,"5.6",1,"#322e2b",0.3903888889,"black","I Love Libbey Selectman"
"14427413.jpg",14427413,"4",1,"#0d1826",0.3750333333,"black","Governor Licht"
"14427413.jpg",14427413,"4",1,"#0d1826",0.3750333333,"black","Governor Licht"
"14427413.jpg",14427413,"4",1,"#0d1826",0.3750333333,"black","Governor Licht"
"14427413.jpg",14427413,"4",1,"#0d1826",0.3750333333,"black","Governor Licht"
"14427413.jpg",14427413,"4",1,"#0d1826",0.3750333333,"black","Governor Licht"
"14427414.jpg",14427414,"4",1,"#322f2c",0.4597777778,"black","Licht Governor"
"14427414.jpg",14427414,"4",1,"#322f2c",0.4597777778,"black","Licht Governor"
"14427414.jpg",14427414,"4",1,"#322f2c",0.4597777778,"black","Licht Governor"
"14427414.jpg",14427414,"4",1,"#322f2c",0.4597777778,"black","Licht Governor"
"14427414.jpg",14427414,"4",1,"#322f2c",0.4597777778,"black","Licht Governor"
"14427429.jpg",14427429,"2",1,"#282726",0.4558444444,"black","Lodge"
"14427429.jpg",14427429,"2",1,"#282726",0.4558444444,"black","Lodge"
"14427429.jpg",14427429,"2",1,"#282726",0.4558444444,"black","Lodge"
"14427429.jpg",14427429,"2",1,"#282726",0.4558444444,"black","Lodge"
"14427429.jpg",14427429,"2",1,"#282726",0.4558444444,"black","Lodge"
"14427427.jpg",14427427,"2.5",1,"#2b2925",0.3996777778,"black","Re-elect Linsky"
"14427427.jpg",14427427,"2.5",1,"#2b2925",0.3996777778,"black","Re-elect Linsky"
"14427427.jpg",14427427,"2.5",1,"#2b2925",0.3996777778,"black","Re-elect Linsky"
"14427427.jpg",14427427,"2.5",1,"#2b2925",0.3996777778,"black","Re-elect Linsky"
"14427427.jpg",14427427,"2.5",1,"#2b2925",0.3996777778,"black","Re-elect Linsky"
"14427419.jpg",14427419,"3.5",1,"#dce0e2",0.4857111111,"pink","Lindsay '72"
"14427419.jpg",14427419,"3.5",1,"#dce0e2",0.4857111111,"pink","Lindsay '72"
"14427419.jpg",14427419,"3.5",1,"#dce0e2",0.4857111111,"pink","Lindsay '72"
"14427419.jpg",14427419,"3.5",1,"#dce0e2",0.4857111111,"pink","Lindsay '72"
"14427419.jpg",14427419,"3.5",1,"#dce0e2",0.4857111111,"pink","Lindsay '72"
"14427424.jpg",14427424,"4.4",1,"#262625",0.2461444444,"black","Linsky"
"14427424.jpg",14427424,"4.4",1,"#262625",0.2461444444,"black","Linsky"
"14427424.jpg",14427424,"4.4",1,"#262625",0.2461444444,"black","Linsky"
"14427424.jpg",14427424,"4.4",1,"#262625",0.2461444444,"black","Linsky"
"14427424.jpg",14427424,"4.4",1,"#262625",0.2461444444,"black","Linsky"
"14427417.jpg",14427417,"3.5",1,"#dfc7ba",0.1361888889,"pink","John V. Lindsay '72"
"14427417.jpg",14427417,"3.5",1,"#dfc7ba",0.1361888889,"pink","John V. Lindsay '72"
"14427417.jpg",14427417,"3.5",1,"#dfc7ba",0.1361888889,"pink","John V. Lindsay '72"
"14427417.jpg",14427417,"3.5",1,"#dfc7ba",0.1361888889,"pink","John V. Lindsay '72"
"14427417.jpg",14427417,"3.5",1,"#dfc7ba",0.1361888889,"pink","John V. Lindsay '72"
"14427423.jpg",14427423,"5.5",1,"#171719",0.3970333333,"black","Linsky"
"14427423.jpg",14427423,"5.5",1,"#171719",0.3970333333,"black","Linsky"
"14427423.jpg",14427423,"5.5",1,"#171719",0.3970333333,"black","Linsky"
"14427423.jpg",14427423,"5.5",1,"#171719",0.3970333333,"black","Linsky"
"14427423.jpg",14427423,"5.5",1,"#171719",0.3970333333,"black","Linsky"
"14427418.jpg",14427418,"3.6",1,"#e8d8c4",0.4497888889,"pink","Lindsay '72"
"14427418.jpg",14427418,"3.6",1,"#e8d8c4",0.4497888889,"pink","Lindsay '72"
"14427418.jpg",14427418,"3.6",1,"#e8d8c4",0.4497888889,"pink","Lindsay '72"
"14427418.jpg",14427418,"3.6",1,"#e8d8c4",0.4497888889,"pink","Lindsay '72"
"14427418.jpg",14427418,"3.6",1,"#e8d8c4",0.4497888889,"pink","Lindsay '72"
"14427426.jpg",14427426,"3.7",1,"#2b2b2a",0.3706555556,"black","Marty Linsky for Congress"
"14427426.jpg",14427426,"3.7",1,"#2b2b2a",0.3706555556,"black","Marty Linsky for Congress"
"14427426.jpg",14427426,"3.7",1,"#2b2b2a",0.3706555556,"black","Marty Linsky for Congress"
"14427426.jpg",14427426,"3.7",1,"#2b2b2a",0.3706555556,"black","Marty Linsky for Congress"
"14427426.jpg",14427426,"3.7",1,"#2b2b2a",0.3706555556,"black","Marty Linsky for Congress"
"14427421.jpg",14427421,"3.2",1,"#e4d7c4",0.3648333333,"pink","Lindsay. It's the 2nd toughest job in America."
"14427421.jpg",14427421,"3.2",1,"#e4d7c4",0.3648333333,"pink","Lindsay. It's the 2nd toughest job in America."
"14427421.jpg",14427421,"3.2",1,"#e4d7c4",0.3648333333,"pink","Lindsay. It's the 2nd toughest job in America."
"14427421.jpg",14427421,"3.2",1,"#e4d7c4",0.3648333333,"pink","Lindsay. It's the 2nd toughest job in America."
"14427421.jpg",14427421,"3.2",1,"#e4d7c4",0.3648333333,"pink","Lindsay. It's the 2nd toughest job in America."
"14427420.jpg",14427420,"2.8",1,"#dfe0d2",0.4731888889,"pink","Lindsay '72"
"14427420.jpg",14427420,"2.8",1,"#dfe0d2",0.4731888889,"pink","Lindsay '72"
"14427420.jpg",14427420,"2.8",1,"#dfe0d2",0.4731888889,"pink","Lindsay '72"
"14427420.jpg",14427420,"2.8",1,"#dfe0d2",0.4731888889,"pink","Lindsay '72"
"14427420.jpg",14427420,"2.8",1,"#dfe0d2",0.4731888889,"pink","Lindsay '72"
"14427425.jpg",14427425,"4.2",1,"#1c57ae",0.2839555556,"gray","Marty Linsky for Congress"
"14427425.jpg",14427425,"4.2",1,"#1c57ae",0.2839555556,"gray","Marty Linsky for Congress"
"14427425.jpg",14427425,"4.2",1,"#1c57ae",0.2839555556,"gray","Marty Linsky for Congress"
"14427425.jpg",14427425,"4.2",1,"#1c57ae",0.2839555556,"gray","Marty Linsky for Congress"
"14427425.jpg",14427425,"4.2",1,"#1c57ae",0.2839555556,"gray","Marty Linsky for Congress"
"14427428.jpg",14427428,"5.6",1,"#192675",0.2809111111,"purple","U.S. Congress Lionett"
"14427428.jpg",14427428,"5.6",1,"#192675",0.2809111111,"purple","U.S. Congress Lionett"
"14427428.jpg",14427428,"5.6",1,"#192675",0.2809111111,"purple","U.S. Congress Lionett"
"14427428.jpg",14427428,"5.6",1,"#192675",0.2809111111,"purple","U.S. Congress Lionett"
"14427428.jpg",14427428,"5.6",1,"#192675",0.2809111111,"purple","U.S. Congress Lionett"
"14427434.jpg",14427434,"3",1,"#2e2b29",0.4097111111,"black","Lowenstein"
"14427434.jpg",14427434,"3",1,"#2e2b29",0.4097111111,"black","Lowenstein"
"14427434.jpg",14427434,"3",1,"#2e2b29",0.4097111111,"black","Lowenstein"
"14427434.jpg",14427434,"3",1,"#2e2b29",0.4097111111,"black","Lowenstein"
"14427434.jpg",14427434,"3",1,"#2e2b29",0.4097111111,"black","Lowenstein"
"14427430.jpg",14427430,"3",1,"#d7d1c1",0.3453222222,"pink","Lodge U.S. Senator"
"14427430.jpg",14427430,"3",1,"#d7d1c1",0.3453222222,"pink","Lodge U.S. Senator"
"14427430.jpg",14427430,"3",1,"#d7d1c1",0.3453222222,"pink","Lodge U.S. Senator"
"14427430.jpg",14427430,"3",1,"#d7d1c1",0.3453222222,"pink","Lodge U.S. Senator"
"14427430.jpg",14427430,"3",1,"#d7d1c1",0.3453222222,"pink","Lodge U.S. Senator"
"14427433.jpg",14427433,"3.2",1,"#163476",0.06666666667,"purple","LoPresti Congress"
