"filename","image_url","name","office","party","date_int","w_cm","color_name"
"14427162.jpg","https://tracy-st.github.io/hks-political-buttons/images/14427162.jpg","Olivia Golden state senate","State Senate",,1985,,
"14427161.jpg","https://tracy-st.github.io/hks-political-buttons/images/14427161.jpg","Goldberg",,,,,
"14427160.jpg","https://tracy-st.github.io/hks-political-buttons/images/14427160.jpg","Gloria",,,,,
"14427159.jpg","https://tracy-st.github.io/hks-political-buttons/images/14427159.jpg","John Glenn U.S. Senate","Senate","Democrat",1974,,
"14427158.jpg","https://tracy-st.github.io/hks-political-buttons/images/14427158.jpg","John Glenn 84","President","Democrat",1984,,
"14427157.jpg","https://tracy-st.github.io/hks-political-buttons/images/14427157.jpg","Glenn Mass. '84","President","Democrat",1984,,
"14427156.jpg","https://tracy-st.github.io/hks-political-buttons/images/14427156.jpg","Glenn for President","President","Democrat",1984,,
"14427155.jpg","https://tracy-st.github.io/hks-political-buttons/images/14427155.jpg","David M. Gilmartin Mayor","Mayor",,,,
"14427154.jpg","https://tracy-st.github.io/hks-political-buttons/images/14427154.jpg","Gibbons for Lt. Governor","Lieutenant Governor","Republican",1956,,
"14427153.jpg","https://tracy-st.github.io/hks-political-buttons/images/14427153.jpg","Bill Geary Lt. Governor","Lieutenant Governor",,1982,,
"14427152.jpg","https://tracy-st.github.io/hks-political-buttons/images/14427152.jpg","Governor Garrahy Democrat","Governor","Democrat",1977,,
"14427151.jpg","https://tracy-st.github.io/hks-political-buttons/images/14427151.jpg","Bus Tip Not Kids Vote Galotti Congress","Congress","Democrat",1976,,
"14427150.jpg","https://tracy-st.github.io/hks-political-buttons/images/14427150.jpg","Gallugi State Representative","State Representative","Democrat",1976,,
"14427149.jpg","https://tracy-st.github.io/hks-political-buttons/images/14427149.jpg","Tom Gallagher State Representative","State Representative","Republican",1982,,
"14427148.jpg","https://tracy-st.github.io/hks-political-buttons/images/14427148.jpg","Fulham. Democrat for Congress","Congress","Democrat",,,
"14427147.jpg","https://tracy-st.github.io/hks-political-buttons/images/14427147.jpg","Elect Freeman Controller","Controller",,,,
"14427146.jpg","https://tracy-st.github.io/hks-political-buttons/images/14427146.jpg","Ken Freda State Senate","State Senate",,,,
"14427145.jpg","https://tracy-st.github.io/hks-political-buttons/images/14427145.jpg","Put Barney Frank to work for Ward 5","Congress","Democrat",,,
"14427144.jpg","https://tracy-st.github.io/hks-political-buttons/images/14427144.jpg","Frankly I'd rather have Barney","Congress","Democrat",,,
"14427143.jpg","https://tracy-st.github.io/hks-political-buttons/images/14427143.jpg","Frankly I'd rather have Barney","Congress","Democrat",,,
"14427142.jpg","https://tracy-st.github.io/hks-political-buttons/images/14427142.jpg","Barney Frank for Congress","Congress","Democrat",,,
"14427141.jpg","https://tracy-st.github.io/hks-political-buttons/images/14427141.jpg","Barney Frank Democrat","Congress","Democrat",,,
"14427140.jpg","https://tracy-st.github.io/hks-political-buttons/images/14427140.jpg","Barney Frank Democrat","Congress","Democrat",,,
"14427139.jpg","https://tracy-st.github.io/hks-political-buttons/images/14427139.jpg","Barney Frank","Congress","Democrat",,,
"14427138.jpg","https://tracy-st.github.io/hks-political-buttons/images/14427138.jpg","Barney Frank","Congress","Democrat",,,
"14427137.jpg","https://tracy-st.github.io/hks-political-buttons/images/14427137.jpg","Barney Frank","Congress","Democrat",,,
"14427136.jpg","https://tracy-st.github.io/hks-political-buttons/images/14427136.jpg","Barney","Congress","Democrat",,,
"14427135.jpg","https://tracy-st.github.io/hks-political-buttons/images/14427135.jpg","Barney","Congress","Democrat",,,
"14427134.jpg","https://tracy-st.github.io/hks-political-buttons/images/14427134.jpg","President Ford '76","President","Republican",1976,,
"14427133.jpg","https://tracy-st.github.io/hks-political-buttons/images/14427133.jpg","President Ford","President","Republican",1976,,
"14427132.jpg","https://tracy-st.github.io/hks-political-buttons/images/14427132.jpg","President Ford","President","Republican",1976,,
"14427131.jpg","https://tracy-st.github.io/hks-political-buttons/images/14427131.jpg","Ford Dole","President","Republican",1976,,
"14427130.jpg","https://tracy-st.github.io/hks-political-buttons/images/14427130.jpg","Confident Peace Prosperity Ford-Dole in '76","President","Republican",1976,,
"14427129.jpg","https://tracy-st.github.io/hks-political-buttons/images/14427129.jpg","Ray Flynn Mayor","Mayor","Democrat",1984,,
"14427128.jpg","https://tracy-st.github.io/hks-political-buttons/images/14427128.jpg","Representative John Flood","Representative","Democrat",,,
"14427127.jpg","https://tracy-st.github.io/hks-political-buttons/images/14427127.jpg","Re-elect Representative Flaherty","Representative",,1967,,
"14427126.jpg","https://tracy-st.github.io/hks-political-buttons/images/14427126.jpg","Re-elect Mike Flaherty Representative","Representative",,1967,,
"14427125.jpg","https://tracy-st.github.io/hks-political-buttons/images/14427125.jpg","Flaherty","Representative",,1967,,
"14427124.jpg","https://tracy-st.github.io/hks-political-buttons/images/14427124.jpg","I'm with ""Fitz""",,,,,
"14427123.jpg","https://tracy-st.github.io/hks-political-buttons/images/14427123.jpg","Fitz",,,,,
